Category: All categories

Month,layoffs: (Canada)
2004-01,6
2004-02,8
2004-03,8
2004-04,8
2004-05,5
2004-06,0
2004-07,0
2004-08,0
2004-09,9
2004-10,7
2004-11,7
2004-12,8
2005-01,7
2005-02,6
2005-03,7
2005-04,5
2005-05,7
2005-06,8
2005-07,6
2005-08,0
2005-09,4
2005-10,4
2005-11,12
2005-12,6
2006-01,7
2006-02,7
2006-03,6
2006-04,6
2006-05,3
2006-06,5
2006-07,9
2006-08,5
2006-09,8
2006-10,6
2006-11,7
2006-12,6
2007-01,7
2007-02,10
2007-03,7
2007-04,5
2007-05,5
2007-06,6
2007-07,3
2007-08,4
2007-09,5
2007-10,9
2007-11,12
2007-12,5
2008-01,8
2008-02,8
2008-03,10
2008-04,10
2008-05,6
2008-06,10
2008-07,13
2008-08,9
2008-09,10
2008-10,18
2008-11,46
2008-12,46
2009-01,72
2009-02,65
2009-03,53
2009-04,34
2009-05,28
2009-06,22
2009-07,22
2009-08,18
2009-09,20
2009-10,19
2009-11,26
2009-12,17
2010-01,30
2010-02,18
2010-03,20
2010-04,15
2010-05,13
2010-06,13
2010-07,10
2010-08,9
2010-09,8
2010-10,8
2010-11,11
2010-12,8
2011-01,9
2011-02,7
2011-03,12
2011-04,7
2011-05,7
2011-06,18
2011-07,18
2011-08,12
2011-09,11
2011-10,10
2011-11,14
2011-12,9
2012-01,13
2012-02,13
2012-03,15
2012-04,18
2012-05,19
2012-06,18
2012-07,12
2012-08,14
2012-09,10
2012-10,15
2012-11,15
2012-12,9
2013-01,12
2013-02,15
2013-03,14
2013-04,14
2013-05,13
2013-06,17
2013-07,13
2013-08,13
2013-09,14
2013-10,14
2013-11,17
2013-12,13
2014-01,17
2014-02,15
2014-03,12
2014-04,15
2014-05,12
2014-06,9
2014-07,12
2014-08,9
2014-09,8
2014-10,9
2014-11,19
2014-12,13
2015-01,69
2015-02,33
2015-03,37
2015-04,25
2015-05,20
2015-06,17
2015-07,18
2015-08,16
2015-09,34
2015-10,39
2015-11,69
2015-12,33
2016-01,39
2016-02,46
2016-03,32
2016-04,26
2016-05,17
2016-06,17
2016-07,15
2016-08,15
2016-09,19
2016-10,21
2016-11,15
2016-12,11
2017-01,15
2017-02,16
2017-03,19
2017-04,23
2017-05,15
2017-06,17
2017-07,11
2017-08,10
2017-09,10
2017-10,13
2017-11,20
2017-12,12
2018-01,18
2018-02,24
2018-03,11
2018-04,12
2018-05,9
2018-06,13
2018-07,9
2018-08,8
2018-09,9
2018-10,11
2018-11,19
2018-12,13
2019-01,17
2019-02,21
2019-03,16
2019-04,17
2019-05,15
2019-06,17
2019-07,14
2019-08,12
2019-09,12
2019-10,37
2019-11,25
2019-12,16
2020-01,15
2020-02,24
2020-03,81
2020-04,65
2020-05,43
2020-06,36
2020-07,32
2020-08,22
2020-09,24
2020-10,35
2020-11,21
2020-12,14
2021-01,23
2021-02,59
2021-03,16
2021-04,10
2021-05,8
2021-06,7
2021-07,6
2021-08,6
2021-09,9
2021-10,8
2021-11,7
2021-12,13
2022-01,7
2022-02,7
2022-03,10
2022-04,8
2022-05,16
2022-06,35
2022-07,32
2022-08,46
2022-09,22
2022-10,21
2022-11,95
2022-12,33
2023-01,100
2023-02,56
2023-03,45
2023-04,41
2023-05,40
2023-06,56
2023-07,33
2023-08,31
2023-09,29
2023-10,38
2023-11,35
2023-12,33
2024-01,45
2024-02,75
2024-03,32
2024-04,32
2024-05,27
2024-06,28
2024-07,25
2024-08,30
2024-09,25
2024-10,30
2024-11,50
2024-12,29
2025-01,33
2025-02,63
2025-03,57
2025-04,47
