Category: All categories

Month,recession: (Canada)
2004-01,3
2004-02,0
2004-03,0
2004-04,4
2004-05,3
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,4
2004-11,4
2004-12,2
2005-01,3
2005-02,3
2005-03,3
2005-04,5
2005-05,3
2005-06,5
2005-07,4
2005-08,2
2005-09,5
2005-10,4
2005-11,5
2005-12,2
2006-01,3
2006-02,5
2006-03,5
2006-04,4
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,4
2006-10,5
2006-11,5
2006-12,4
2007-01,3
2007-02,4
2007-03,4
2007-04,3
2007-05,5
2007-06,2
2007-07,3
2007-08,5
2007-09,8
2007-10,7
2007-11,9
2007-12,7
2008-01,38
2008-02,16
2008-03,20
2008-04,19
2008-05,10
2008-06,11
2008-07,13
2008-08,12
2008-09,24
2008-10,62
2008-11,55
2008-12,50
2009-01,44
2009-02,54
2009-03,57
2009-04,42
2009-05,29
2009-06,23
2009-07,25
2009-08,18
2009-09,18
2009-10,21
2009-11,21
2009-12,16
2010-01,15
2010-02,15
2010-03,16
2010-04,13
2010-05,11
2010-06,11
2010-07,11
2010-08,12
2010-09,13
2010-10,12
2010-11,12
2010-12,9
2011-01,8
2011-02,9
2011-03,11
2011-04,9
2011-05,8
2011-06,9
2011-07,7
2011-08,16
2011-09,18
2011-10,16
2011-11,13
2011-12,10
2012-01,8
2012-02,7
2012-03,9
2012-04,9
2012-05,7
2012-06,8
2012-07,6
2012-08,5
2012-09,7
2012-10,8
2012-11,11
2012-12,6
2013-01,7
2013-02,7
2013-03,8
2013-04,7
2013-05,7
2013-06,5
2013-07,4
2013-08,4
2013-09,5
2013-10,7
2013-11,6
2013-12,5
2014-01,6
2014-02,6
2014-03,7
2014-04,6
2014-05,5
2014-06,5
2014-07,4
2014-08,3
2014-09,6
2014-10,8
2014-11,9
2014-12,9
2015-01,18
2015-02,9
2015-03,9
2015-04,8
2015-05,8
2015-06,7
2015-07,28
2015-08,21
2015-09,33
2015-10,15
2015-11,10
2015-12,10
2016-01,16
2016-02,13
2016-03,10
2016-04,9
2016-05,7
2016-06,8
2016-07,7
2016-08,6
2016-09,8
2016-10,8
2016-11,10
2016-12,6
2017-01,7
2017-02,7
2017-03,8
2017-04,8
2017-05,6
2017-06,6
2017-07,5
2017-08,4
2017-09,6
2017-10,7
2017-11,7
2017-12,6
2018-01,7
2018-02,8
2018-03,8
2018-04,8
2018-05,7
2018-06,12
2018-07,8
2018-08,7
2018-09,10
2018-10,12
2018-11,11
2018-12,19
2019-01,14
2019-02,11
2019-03,17
2019-04,14
2019-05,10
2019-06,12
2019-07,11
2019-08,40
2019-09,23
2019-10,22
2019-11,19
2019-12,17
2020-01,14
2020-02,19
2020-03,100
2020-04,34
2020-05,23
2020-06,14
2020-07,12
2020-08,12
2020-09,10
2020-10,10
2020-11,9
2020-12,8
2021-01,8
2021-02,8
2021-03,7
2021-04,7
2021-05,6
2021-06,5
2021-07,5
2021-08,4
2021-09,6
2021-10,8
2021-11,7
2021-12,6
2022-01,10
2022-02,12
2022-03,23
2022-04,26
2022-05,41
2022-06,83
2022-07,79
2022-08,32
2022-09,40
2022-10,80
2022-11,53
2022-12,33
2023-01,38
2023-02,27
2023-03,29
2023-04,24
2023-05,27
2023-06,22
2023-07,20
2023-08,20
2023-09,21
2023-10,21
2023-11,27
2023-12,20
2024-01,16
2024-02,19
2024-03,14
2024-04,13
2024-05,11
2024-06,10
2024-07,10
2024-08,25
2024-09,15
2024-10,12
2024-11,13
2024-12,13
2025-01,16
2025-02,24
2025-03,40
2025-04,28
