Category: All categories

Month,stock crash: (Canada)
2004-01,24
2004-02,14
2004-03,23
2004-04,36
2004-05,28
2004-06,18
2004-07,0
2004-08,0
2004-09,0
2004-10,14
2004-11,29
2004-12,12
2005-01,22
2005-02,8
2005-03,17
2005-04,32
2005-05,17
2005-06,13
2005-07,7
2005-08,0
2005-09,0
2005-10,23
2005-11,27
2005-12,16
2006-01,18
2006-02,8
2006-03,16
2006-04,19
2006-05,15
2006-06,16
2006-07,0
2006-08,0
2006-09,8
2006-10,15
2006-11,19
2006-12,11
2007-01,12
2007-02,12
2007-03,13
2007-04,14
2007-05,12
2007-06,11
2007-07,3
2007-08,11
2007-09,10
2007-10,15
2007-11,17
2007-12,9
2008-01,24
2008-02,7
2008-03,13
2008-04,16
2008-05,10
2008-06,11
2008-07,5
2008-08,3
2008-09,35
2008-10,49
2008-11,25
2008-12,12
2009-01,13
2009-02,9
2009-03,12
2009-04,16
2009-05,9
2009-06,9
2009-07,5
2009-08,3
2009-09,7
2009-10,13
2009-11,17
2009-12,8
2010-01,11
2010-02,8
2010-03,11
2010-04,10
2010-05,15
2010-06,10
2010-07,6
2010-08,5
2010-09,8
2010-10,12
2010-11,14
2010-12,8
2011-01,12
2011-02,8
2011-03,13
2011-04,11
2011-05,8
2011-06,9
2011-07,6
2011-08,26
2011-09,11
2011-10,14
2011-11,15
2011-12,9
2012-01,11
2012-02,8
2012-03,10
2012-04,10
2012-05,10
2012-06,10
2012-07,5
2012-08,5
2012-09,6
2012-10,12
2012-11,11
2012-12,7
2013-01,10
2013-02,7
2013-03,9
2013-04,15
2013-05,11
2013-06,11
2013-07,6
2013-08,6
2013-09,8
2013-10,13
2013-11,14
2013-12,9
2014-01,13
2014-02,11
2014-03,13
2014-04,16
2014-05,12
2014-06,11
2014-07,11
2014-08,8
2014-09,11
2014-10,26
2014-11,18
2014-12,17
2015-01,17
2015-02,11
2015-03,14
2015-04,13
2015-05,12
2015-06,14
2015-07,26
2015-08,48
2015-09,18
2015-10,14
2015-11,16
2015-12,12
2016-01,35
2016-02,13
2016-03,13
2016-04,17
2016-05,11
2016-06,18
2016-07,11
2016-08,9
2016-09,12
2016-10,15
2016-11,38
2016-12,12
2017-01,17
2017-02,14
2017-03,14
2017-04,14
2017-05,16
2017-06,15
2017-07,12
2017-08,9
2017-09,10
2017-10,16
2017-11,21
2017-12,18
2018-01,22
2018-02,65
2018-03,19
2018-04,18
2018-05,11
2018-06,14
2018-07,13
2018-08,11
2018-09,12
2018-10,39
2018-11,21
2018-12,35
2019-01,16
2019-02,11
2019-03,19
2019-04,16
2019-05,15
2019-06,13
2019-07,10
2019-08,15
2019-09,10
2019-10,15
2019-11,17
2019-12,13
2020-01,22
2020-02,37
2020-03,100
2020-04,39
2020-05,29
2020-06,30
2020-07,24
2020-08,24
2020-09,29
2020-10,25
2020-11,26
2020-12,35
2021-01,55
2021-02,52
2021-03,43
2021-04,29
2021-05,31
2021-06,21
2021-07,20
2021-08,14
2021-09,21
2021-10,22
2021-11,24
2021-12,22
2022-01,38
2022-02,27
2022-03,25
2022-04,26
2022-05,34
2022-06,26
2022-07,16
2022-08,12
2022-09,17
2022-10,15
2022-11,18
2022-12,13
2023-01,15
2023-02,13
2023-03,20
2023-04,17
2023-05,14
2023-06,14
2023-07,9
2023-08,26
2023-09,12
2023-10,21
2023-11,13
2023-12,12
2024-01,15
2024-02,13
2024-03,15
2024-04,16
2024-05,12
2024-06,13
2024-07,12
2024-08,62
2024-09,12
2024-10,15
2024-11,18
2024-12,20
2025-01,51
2025-02,31
2025-03,37
2025-04,26
